"country","InternetUsers_NumberOfInternetUsers","InternetUsers_DataYear","InternetUsers_PctOfPopulationUsingInternet","InternetTraffic12312020"
"India",881250000,2023,62.6,749342381
"China",1102140000,2022,77.3,989080566
"United States",311300000,2023,92.4,312322257
"Indonesia",215626156,2023,78.8,196400000
"Pakistan",170000000,2022,70.8,76380000
"Nigeria",136203231,2020,63.8,154301195
"Brazil",165300000,2022,77.1,149057635
"Bangladesh",126210000,2022,75.9,111875000
"Russia",129800000,2022,89.5,116353942
"Ethiopia",36400000,2021,30.3,21147255
"Mexico",96800000,2023,75.1,85000000
"Japan",117400000,2021,94.2,118626672
"Egypt",80750000,2023,73.9,54741493
"Philippines",73003313,2021,64.1,86300000
"DR Congo",7011507,2021,7.3,16355917
"Vietnam",68172134,2021,69.9,71540000
"Iran",78086663,2022,88.8,67602731
"Turkey",74278491,2023,87.6,69107183
"Germany",77794405,2021,93.3,79127551
"Thailand",54043108,2020,75.5,57000000
"United Kingdom",65001016,2021,96.6,63544106
"Tanzania",33090000,2023,52,23142960
"France",59470000,2021,92.2,60421689
"South Africa",31858027,2021,53.6,34545165
"Italy",50540000,2021,85.3,54798299
"Kenya",8861485,2021,16.7,46870422
"Myanmar",23650000,2021,44,28530000
"Colombia",39340000,2023,76.4,31275567
"South Korea",49421084,2021,95.4,49234329
"Sudan",12512639,2021,27.4,13124100
"Uganda",10162807,2021,22.2,18502166
"Spain",42400756,2021,89.3,42961230
"Algeria",26350000,2021,59.6,25428159
"Iraq",18892351,2021,43.4,24525000
"Argentina",40024673,2022,88.4,41586960
"Afghanistan",4068194,2021,10.1,7337489
"Yemen",7548512,2021,22.9,7903772
"Canada",33950632,2021,89,33221435
"Poland",35741108,2023,93.3,29757099
"Morocco",22072765,2021,59.5,25589581
"Angola",4271053,2021,12.4,8980670
"Ukraine",28570000,2023,65.6,40912381
"Uzbekistan",16692456,2021,49,17161534
"Malaysia",25343685,2021,75.5,29161765
"Mozambique",6162217,2021,19.2,6523613
"Ghana",15065541,2021,45.9,14767818
"Peru",15674241,2021,46.5,22000000
"Saudi Arabia",34840000,2022,96.9,31856652
"Madagascar",2505948,2021,8.7,2864000
"Ivory Coast",10650818,2021,38.8,12253653
"Nepal",16190000,2021,53.9,21900000
"Cameroon",5580465,2021,20.5,7878422
"Venezuela",20564451,2021,78.7,17178743
"Niger",2194985,2021,8.7,3363848
"Australia",25309515,2023,97.6,21711706
"Syria",6257430,2021,29.3,8500000
"Mali",2358540,2021,10.8,12480176
"Burkina Faso",3047909,2021,13.8,4594265
"Taiwan",21920626,2021,91.9,22042902
"Sri Lanka",7121116,2021,32.7,7613000
"Malawi",2566126,2021,12.9,2717243
"Zambia",4760715,2021,24.4,9870427
"Kazakhstan",13913699,2021,72.5,14669853
"Chad",968500,2021,5.6,2237932
"Chile",14864456,2021,76.3,14108392
"Romania",12545558,2021,64.9,14387477
"Somalia",294851,2021,1.7,2089900
"Senegal",4698108,2021,27.8,9749527
"Guatemala",11750000,2021,66.7,7268597
"Netherlands",15877494,2021,90.7,16383879
"Ecuador",9521056,2021,53.5,13476687
"Cambodia",5441827,2021,32.8,11786000
"Zimbabwe",4472992,2021,28,8400000
"Guinea",1449758,2021,10.7,2551672
"Benin",1578008,2021,12.1,3801758
"Rwanda",2657770,2021,19.7,5981638
"Burundi",607311,2021,4.8,1606122
"Bolivia",4843916,2021,40.1,8817749
"Tunisia",7920000,2021,64.6,8170000
"South Sudan",1003542,2021,9.3,900716
"Haiti",1353986,2021,11.8,2000000
"Belgium",10021242,2021,86.3,10857126
"Jordan",6480202,2021,58.1,8700000
"Dominican Republic",6997472,2021,62.9,6649904
"United Arab Emirates",8913217,2021,95.2,10082000
"Cuba",5638956,2021,50.1,4630000
"Honduras",2977793,2021,29,3600000
"Czech Republic",8358728,2021,79.5,9323428
"Sweden",9554907,2021,91.3,9692227
"Tajikistan",1959127,2021,20.1,3013256
"Papua New Guinea",924955,2021,9.3,1099945
"Portugal",8733222,2023,84.9,8015519
"Azerbaijan",7763795,2021,75.3,7991630
"Greece",7923438,2021,75.9,8115397
"Hungary",7461297,2021,76.8,8588776
"Togo",963795,2021,11.1,1011837
"Israel",6788737,2021,76.3,7002759
"Austria",7681957,2021,86.1,7920226
"Belarus",7048231,2021,73.6,7521628
"Switzerland",7942864,2021,91.4,8066800
"Sierra Leone",1000575,2021,11.9,1043725
"Laos",1749517,2021,23.6,3645000
"Turkmenistan",1223591,2021,19.3,1262794
"Hong Kong",6970000,2023,93,6698252
"Libya",1387116,2021,20.6,5857000
"Kyrgyzstan",2309235,2021,35.4,3123000
"Paraguay",4160340,2021,62.1,6177748
"Nicaragua",1732218,2021,25.3,2700000
"Bulgaria",4492326,2021,65.2,4663065
"Serbia",6182411,2021,84.7,6406827
"El Salvador",1993079,2021,31.6,3700000
"Republic of the Congo",455055,2021,7.8,833200
"Denmark",5407278,2021,92.4,5649494
"Singapore",4821119,2021,81.1,5173907
"Lebanon",4755187,2021,85,5546494
"Finland",5410000,2023,97.7,5225678
"Liberia",377607,2021,7.3,760994
"Norway",5120225,2021,94.8,5311892
"Slovakia",4446926,2021,81.6,4629641
"Palestine",3208312,2021,62.5,3381787
"Central African Republic",202204,2021,3.7,557085
"Oman",3717818,2021,82.2,4011004
"Ireland",4024552,2021,80.7,4453436
"New Zealand",4999353,2023,97.5,4351987
"Mauritania",919398,2021,19.9,969519
"Costa Rica",3511549,2021,68.1,4296443
"Kuwait",4053797,2021,95.4,4256466
"Panama",2371852,2021,54.5,2899892
"Croatia",2811056,2021,69.2,3787838
"Georgia",3446533,2021,91.7,3065000
"Eritrea",66402,2021,1.8,248199
"Mongolia",729236,2021,21.8,2602000
"Uruguay",2910000,2022,84.9,3059727
"Puerto Rico",2664928,2021,81.8,3047311
"Bosnia and Herzegovina",2320000,2021,70.9,2828846
"Qatar",2532059,2021,94.2,3056000
"Moldova",2138783,2023,69.9,3067446
"Namibia",933450,2021,36.9,1347418
"Armenia",2043110,2021,73.2,2126716
"Lithuania",2243448,2021,80.5,2603900
"Jamaica",1409888,2021,49.9,1581100
"Albania",2105339,2021,73.7,2160000
"Gambia",416753,2021,15.8,442050
"Gabon",1040000,2021,44.4,1367641
"Botswana",948977,2021,36.7,1139000
"Lesotho",665312,2021,29.2,682990
"Guinea-Bissau",73148,2021,3.5,250000
"Slovenia",1640893,2021,77.4,1663795
"Equatorial Guinea",332642,2021,20.4,362891
"Latvia",1585471,2021,84.6,1663739
"North Macedonia",1589659,2021,75.6,1652056
"Bahrain",1431090,2021,97.8,1707533
"Trinidad and Tobago",1058744,2021,69.4,1003592
"Timor-Leste",356356,2021,27,410000
"Estonia",1211112,2021,91.2,1276521
"Cyprus",952369,2021,76.5,1011831
"Mauritius",702911,2021,54.1,919000
"Eswatini",414278,2021,34.7,665245
"Djibouti",532849,2021,48.2,548832
"Fiji",452479,2021,48.9,615500
"Comoros",69020,2021,8.4,193700
"Guyana",290375,2021,36.1,395007
"Solomon Islands",72872,2021,10.3,130000
"Bhutan",388541,2021,50,537300
"Macau",619200,2023,90.2,632175
"Luxembourg",570794,2021,89.3,584037
"Montenegro",505055,2021,80.4,449989
"Suriname",275785,2021,45,340000
"Malta",344970,2021,65.5,360056
"Maldives",275717,2021,52.9,375100
"Cape Verde",312315,2021,53.1,352120
"Brunei",406705,2021,91.3,430500
"Belize",176400,2021,44.1,200020
"Bahamas",336057,2021,82.4,333143
"Iceland",369996,2023,99.9,337194
"Vanuatu",71050,2021,22.3,110000
"New Caledonia",226557,2021,78.7,232368
"Barbados",233604,2021,83.1,228717
"French Polynesia",205746,2021,67.7,209744
"Sao Tome and Principe",61155,2021,27.4,63864
"Samoa",66023,2021,30.2,134500
"Saint Lucia",90889,2021,50.6,142970
"Guam",132221,2021,77.5,149500
"Kiribati",16971,2021,13.2,51300
"Seychelles",55677,2021,52.3,71300
"Grenada",63692,2021,51.1,69245
"Micronesia",37257,2021,7,56193
"Aruba",102285,2021,96,100000
"Tonga",44558,2021,42,75400
"Jersey",38958,2021,35.5,70000
"Saint Vincent and the Grenadines",72048,2021,69.1,76984
"Antigua and Barbuda",77529,2021,83.2,81900
"Andorra",76095,2021,96,73101
"Cayman Islands",49906,2021,73.2,54630
"Dominica",51467,2021,71.1,49687
"Bermuda",60349,2021,94,60122
"Greenland",39242,2021,69.8,52000
"Faroe Islands",48097,2021,90.9,48489
"Saint Kitts and Nevis",44669,2021,93.8,43618
"Liechtenstein",37201,2021,95.3,37674
"British Virgin Islands",14456,2021,46.4,14620
"Gibraltar",32494,2021,97.8,32939
"Monaco",37553,2021,102.4,38124
"Marshall Islands",20560,2021,48.9,23000
"San Marino",20100,2021,59.6,20270
"Anguilla",12043,2021,76.4,12557
"Nauru",6475,2021,51.8,6418
"Wallis and Futuna",1383,2021,11.9,6000
"Tuvalu",5520,2021,49.3,6400
"Montserrat",2833,2021,64.1,3200
"Falkland Islands",2881,2021,76.5,2900
"Niue",1034,2021,53.4,1485