Tiktoker name,Tiktok name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg,category
annaxsitar,anna x,11.6M,3M,461.2K,723,381,Lifestyle & Travel
y.i.m_,Отборный юмор и комедия 🎭,177.5K,1.4M,121.3K,1.2K,7.7K,Entertainment & Cinema
matsu_kusarine,ラブマツ (LOVEMATSU),563.9K,2.9M,186.4K,1.8K,1K,Other / Unknown
beinsports,beINSPORTS,1.2M,1.7M,213.8K,2.2K,1.9K,Sports & Fitness
_mister_z,Marco Zedda,4.5M,1.6M,272.2K,2.4K,995,Other / Unknown
.shuberrr,максончиq,5.8K,2M,152.7K,2.1K,2.8K,Other / Unknown
maharanikemala,maharanikemala,3.2M,2.5M,156.2K,1.8K,2K,Other / Unknown
analisseworld,Analisseworld,9.9M,2.1M,328.9K,967,1.2K,Lifestyle & Travel
jairsanchezzz,Jair Sanchez,6.2M,1.3M,226.9K,1.8K,3.5K,Other / Unknown
machikayt,MachikaYT,12M,1.9M,291.1K,2.2K,558,Other / Unknown
michaelrendyw,Michael Rendy W,4.6M,3.9M,293.6K,740,558,Entertainment & Cinema
dobretwins,Lucas and Marcus,35.2M,1.8M,221.4K,3.3K,498,Other / Unknown
swagboyq,SwagBoyQ on IG,23.4M,3M,216.6K,1.4K,858,Other / Unknown
xoomid,Xoomid,8.2K,1.1M,135.3K,4.2K,5.7K,Other / Unknown
_nch04,𝐍𝐠𝐮𝐲𝐞̂̃𝐧 𝐇𝐚̉𝐢,4.8M,2.5M,209.1K,1.4K,1.4K,Other / Unknown
davidgalvanv,David Galván,3.9M,2.6M,244.2K,1.5K,807,Other / Unknown
usernamepuntaktahu,CEO OF SEKOLAH,587.7K,2.2M,293.3K,1.7K,595,Entertainment & Cinema
primkung007,PRIMKUNG,2.1M,1.4M,259.9K,3.5K,575,Lifestyle & Travel
isabelgiannuzzi,Isabel,1.1M,3.5M,298.1K,1.2K,187,Fashion & Beauty
baileyspinn,bailey,11.1M,2.3M,296.1K,2K,137,Music & Art
summerwalker,Summer Walker,1.6M,1.1M,199.2K,3.3K,3.3K,Music & Art
huynh_quang_6767,Huỳnh Quang - Bảo Ngọc,457.6K,2.1M,185.6K,3.4K,337,Entertainment & Cinema
bs_fo4eek,Fo4eek,36.9K,1.9M,158.8K,2.6K,2.1K,Gaming & Technology
carloandsarah,,3.3M,2.4M,188.4K,1.2K,1.9K,Entertainment & Cinema
nadaakkhaledd,Nada khaled,2.7M,2.1M,275.9K,1.3K,1.1K,Fashion & Beauty
ups,UPS,92.6K,1.2M,136.7K,2.2K,6.3K,Other / Unknown
ninja,Ninja,8.3M,2.3M,216.2K,1.6K,1.4K,Gaming & Technology
attahalilintar,Atta Halilintar,10.1M,2.6M,288.9K,1.3K,661,Music & Art
nam.per,Nam Per,1.6M,2.5M,225K,1.5K,987,Lifestyle & Travel
leal_stephany,Stephany Leal,13.1M,1.7M,351.2K,738,1.6K,Entertainment & Cinema
lucaslopezvilet,Lucas Lopez,2.4M,1.3M,191.4K,1.3K,4.5K,Entertainment & Cinema
vlad.hoshin,HOSHIN,11.4M,1.1M,250.8K,4.1K,1K,Fashion & Beauty
kauanahofem,Kau,7M,1.8M,262.9K,1.8K,1.2K,Music & Art
xolyssarosexo,Lyssa,60.1K,1.6M,92.6K,8.7K,1.1K,Fashion & Beauty
joe.bartolozzi,Joe Bartolozzi,17.8M,1.5M,296.7K,2.8K,376,Entertainment & Cinema
maxkhadarr,max khadar,1.3M,1.1M,197.6K,3K,3.4K,Other / Unknown
jacksonaces,JACKSON ACES MAGIC🎩,6.2M,1.5M,93K,3K,6.9K,Entertainment & Cinema
ninjagirldraws,Dania,3.6M,1.7M,147.1K,2K,3.5K,Music & Art
trien.13,TRIỂN CHILL,491.4K,1.3M,177.1K,3.9K,2.1K,Lifestyle & Travel
connordewolfe,Connor DeWolfe,5.3M,1.1M,276K,1.5K,3K,Entertainment & Cinema
loupernaut,Lou PERNAUT,1.3M,2.4M,280.7K,1.8K,198,Fashion & Beauty
bxyeditss,[panyo ni irene],419.4K,1.1M,202.5K,2.8K,3.4K,Music & Art
totochegang,Anto,1.4M,1.4M,275.4K,1.4K,2.3K,Entertainment & Cinema
luciiasanese,lu,30.1K,1.2M,186.9K,2.7K,3.6K,Fashion & Beauty
nickandcarrie,Nick&Carrie,5.6M,1.9M,290.5K,1K,1.5K,Entertainment & Cinema
juanchimy,Juan Lopez,2.7M,1.4M,325.1K,1.7K,1.3K,Entertainment & Cinema
bene.schulz,Bene,5.7M,2M,254.6K,1.6K,1.1K,Music & Art
com.amugiri2,【コムドット】あむぎり,712.3K,1.3M,200.1K,3.8K,1.4K,Entertainment & Cinema
goldwin.reyes,GOLDWIN REYES,1.5M,2.5M,335.3K,964,659,Music & Art
lulu_pt,Lulu,299.6K,1.9M,223.9K,921,2.2K,Other / Unknown
itskingchris,KingChristian,15.3M,1.4M,258.6K,2.2K,1.7K,Entertainment & Cinema
fahmi.nm,Fahmi,7.6M,2.2M,237.4K,1.8K,748,Other / Unknown
farhanrn__,FARHAN,3.8M,1.7M,281.9K,1.8K,1K,Other / Unknown
liltjay,Lil Tjay,4.4M,1.8M,221.2K,2.7K,775,Music & Art
vilmeijuga,VILMEI✨,8.4M,1.7M,169.2K,3.5K,1.1K,Other / Unknown
faryanggaa,Ryann,4.4M,1.7M,272.2K,1.9K,1K,Other / Unknown
gordeewa__13,вечно изящная,9.5M,2.6M,214.5K,1.8K,604,Other / Unknown
fadiljaidi,Fadil Jaidi,7.5M,2.5M,351.6K,967,543,Lifestyle & Travel
darianrojasc,D A R I A NR O J A S,29.4M,3.1M,445K,575,385,Other / Unknown
ibaillanos,Ibai,8.9M,1.5M,260.5K,1.3K,2K,Music & Art
tsezy,Tommy,4.8M,2M,253.5K,1.9K,735,Other / Unknown
linhkool1993,Linh Kool,4.5M,3.3M,330.3K,954,256,Other / Unknown
rayanfahmi,Rayoon,3.2M,2.2M,192K,2.1K,1.1K,Other / Unknown
unnecessaryinventions,unnecessaryinvention,4.6M,2.2M,194.6K,2K,1.1K,Entertainment & Cinema
basementgang,Basement Gang,5M,1.4M,275.2K,1.4K,2.1K,Music & Art
bessan_esmail,بيسان اسماعيل - Bessan Ismail,10.1M,1.8M,132.1K,4.2K,1.4K,Entertainment & Cinema
com.yuma1214,【コムドット】ゆうま,812.7K,1.3M,188.3K,3.9K,1.4K,Entertainment & Cinema
anggun_core,anggun✨,14.8M,3.6M,178K,1.3K,697,Other / Unknown
xibibrothers,Xibi Brothers,7.6M,1.8M,246.5K,888,2K,Other / Unknown
moni_lina,MoniLina,14.5M,7.7M,128.1K,367,942,Other / Unknown
avani,avani,40.4M,1.8M,237.6K,2.1K,874,Fashion & Beauty
haijoel,Haijoel,409.5K,2.8M,167.7K,2.5K,279,Other / Unknown
samanthayve,samantha eve,5.8M,1.3M,205.4K,3.4K,1.4K,Other / Unknown
hoaa.hanassii,Đào Lê Phương Hoa,10.8M,1.6M,255.3K,2.4K,695,Fashion & Beauty
ryanbakery,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,1.1M,1.6M,171.3K,2.4K,2.4K,Other / Unknown
djprecise,DJ Precise,3.4M,1.7M,186.4K,3.1K,897,Music & Art
jeffreestar,Jeffree Star,2.2M,2.1M,208.4K,2K,872,Fashion & Beauty
christiandaloii_,Christiandaloii_,2.9M,1.5M,197.4K,2.5K,1.9K,Other / Unknown
abdullah_eltourky,Eltourky 👑,6.7M,2M,235.7K,1.2K,1.4K,Other / Unknown
oironyoliveira,Kbuloso 😈,5.9M,1.3M,87.3K,490,10.9K,Other / Unknown
lana_mohd89,𝑳𝑨𝑵𝑨 🦋,4.4M,2.1M,161.7K,2.4K,1.2K,Other / Unknown
lyrico__,ʟʏʀɪᴄᴏ,2.9M,1.1M,105.6K,1.1K,10.1K,Other / Unknown
beasteater,BeastEater,18M,2.7M,248.4K,1.7K,208,Entertainment & Cinema
nick.digiovanni,nick.digiovanni,8.6M,2.1M,295.3K,1.2K,778,Lifestyle & Travel
milosramen,Jacob🇭🇳,1.3M,2.2M,272.9K,1.4K,665,Lifestyle & Travel
steveharvey,Steve Harvey,9.2M,1.8M,176.8K,1.7K,2.4K,Entertainment & Cinema
ngoanhtan1,Bạn Tấn chúa tể nỗi buồn,777.6K,1.6M,153.1K,2.7K,2.4K,Other / Unknown
gemelasabello2,gemelasabello2,13.2M,2.6M,293.2K,693,950,Other / Unknown
creatorar,Arpostt,624.1K,1.7M,141.3K,733,4.4K,Other / Unknown
vanrezaputra,Elaina,320.1K,1.9M,163.3K,2.3K,1.8K,Other / Unknown
bestluxurycars,Bestluxurycars,3K,769.5K,136.9K,1.4K,10.2K,Lifestyle & Travel
johaanzu,JohaanZu,3.6M,1.7M,320.2K,1.6K,716,Other / Unknown
nelyrall,NELYRALL,4.6M,1.1M,214.5K,1.9K,3.5K,Other / Unknown
leigh_mcnasty,Leigh McClendon,2.8M,1M,157K,1.3K,6.1K,Entertainment & Cinema
xo4y_remont56,user4538340664186,82.9K,2.7M,67.4K,589,6K,Lifestyle & Travel
sofarsabi,SOFARSABI,5.5M,2.1M,208.4K,2.2K,584,Other / Unknown
cerolzera,CEROL,4.1M,1.7M,180.4K,2.7K,1.3K,Gaming & Technology
animalize21,animalize21🔥,10.3M,2M,248.1K,1.4K,1K,Other / Unknown
itspierreboo,Pierre,12.5M,1.9M,278.3K,1.6K,753,Other / Unknown
lorengray,Loren Gray,54.3M,1.8M,248.4K,1.5K,1.2K,Fashion & Beauty
football.tonight,football.tonight,391.5K,2M,152.2K,2.3K,1.6K,Sports & Fitness
danielmidas,danielmidas,281.8K,1.4M,119.1K,1.6K,5.5K,Other / Unknown
laila_mahmoud62,ليلي محمود ♥️,3M,3.4M,204.7K,772,931,Other / Unknown
quintongriggs,Q U I N T O N,6.4M,1.4M,169.8K,3.3K,1.7K,Entertainment & Cinema
erictro,Eric Tro,2.2M,3.7M,358.8K,453,438,Other / Unknown
doongool,🔥Dongol🔥,3.1M,2.2M,255K,1.1K,1K,Other / Unknown
madozilla,mad,5.7M,888.9K,194.4K,3.9K,2.9K,Other / Unknown
anxietycouple,Anxiety couple,10.7M,2.6M,274.9K,765,886,Lifestyle & Travel
nildachiaraviglio,NildaChiaraviglio,798.9K,1.3M,117.9K,723,7K,Lifestyle & Travel
haccon.01,𝐇𝐚̣𝐜 𝐂𝐨𝐧🦩,325.1K,1.9M,157.8K,3.6K,314,Other / Unknown
fukada0318,深田えいみ,4.6M,2M,150.8K,2.6K,1.3K,Entertainment & Cinema
ahmedbasyoni,Ahmed Basyoni,1.2M,1.7M,125.9K,2.4K,3K,Other / Unknown
sinadeinert,sinadeinert,5.5M,967.7K,207.5K,4.6K,1.2K,Music & Art
austinandlexi,⚡️Austin & Lexi 💥,3.2M,1.3M,253.3K,1.5K,2K,Entertainment & Cinema
jayrscottyy,Jordan Scott,2.3M,900.6K,173.1K,3.7K,3.7K,Entertainment & Cinema
manja_faiez,Manja,593.1K,1.5M,128K,2.2K,3.8K,Lifestyle & Travel
moontellthat,MOONTELLTHAT,13.1M,2.3M,156.9K,1.7K,1.6K,Music & Art
baraa.bolat,@baraabolat,1.6M,2.3M,143.9K,2.5K,959,Fashion & Beauty
yurika_aruno,Danone💕,2.8M,1.3M,209.9K,2.9K,1.3K,Entertainment & Cinema
360tv,ARISHA ROSS,9.9M,2M,162K,3K,461,Lifestyle & Travel
its.__yara,its._yara,749.5K,1.1M,65.4K,7.3K,8.6K,Entertainment & Cinema
ava_love33,Ava Love,2.7M,1.5M,299.5K,2.1K,471,Entertainment & Cinema
mohaimen.alaa,مهيمن علاء,2.9M,1.2M,190.4K,3.5K,1.5K,Entertainment & Cinema
officialsalicerose,Salice Rose,18.6M,1.1M,201.3K,1.8K,3.4K,Entertainment & Cinema
hisoyvaleria,➖V A L E R I A ➖,6.2M,2.7M,354.7K,803,380,Entertainment & Cinema
saaihalilintar,SAAIH HALILINTAR,4.3M,3M,272.4K,893,492,Music & Art
pierson,Pierson,12.5M,2M,287K,1.7K,306,Entertainment & Cinema
mursid241,Mursid,2.2M,2.4M,179.1K,2.3K,416,Other / Unknown
stayc_official,STAYC,1.3M,1.6M,181.1K,2.9K,1K,Music & Art
liamsilk,Liam Silk,6.9M,890.6K,249.6K,2.6K,2.5K,Gaming & Technology
deangerald,𝕯𝖊𝖆𝖓,382K,1.3M,193.9K,607,3.8K,Other / Unknown
polya_tuti,Поля тут🔥👇,2.3M,3.1M,250.6K,711,730,Other / Unknown
trevorwallace,trevor wallace,7.3M,1.5M,208.7K,759,2.8K,Entertainment & Cinema
jarvali,Jarvis,2.2M,1.2M,251.7K,2.1K,1.6K,Gaming & Technology
gertieinar,Gerti & Megi,2.5M,4M,162.3K,904,835,Other / Unknown
_angelomarasigan,Angelo,484K,1.4M,206.7K,2.1K,1.8K,Music & Art
lupinelakes,Lupine,81.4K,1.9M,376.2K,781,811,Other / Unknown
jauncydev,jonny devaney,1.5M,1.1M,172K,1.3K,4.6K,Entertainment & Cinema
ivoryowl,Makayla,1.1M,1.4M,238K,1.8K,1.5K,Other / Unknown
joshrichards,Josh Richards,25.6M,2.2M,297.8K,991,691,Entertainment & Cinema
haga7_dayo,HAGA SEVEN/ No War🕊,1.7M,2.8M,120.9K,914,2.3K,Other / Unknown
itsmenicksmithy2,Nick Smithyman 😎,9.8M,1.6M,217K,1.9K,1.4K,Other / Unknown
so_andreyy,So_Andrey,541.1K,2.2M,111.8K,537,4K,Other / Unknown
la.maraaa,LA MARA,6.1M,959.7K,213.9K,5.1K,277,Other / Unknown
paulorgds,paulo🌻,375.9K,1.4M,224.9K,1.3K,2.2K,Lifestyle & Travel
murphslife,Aaron Murphy,4.7M,1.5M,173.4K,1.4K,2.8K,Lifestyle & Travel
okthatscreepy,OkThat’sCreepy,366.8K,3.1M,144.3K,1.2K,1.3K,Entertainment & Cinema
dylanpage.ning,Dylan Page,2.5M,1.2M,196.9K,2.8K,1.9K,Other / Unknown
fabiola.baglieri,𝐹𝑎𝑏𝑖𝑜𝑙𝑎,11.6M,2.4M,288.7K,1.3K,294,Fashion & Beauty
tnt_500,ทาจิมานะ เรียว,24.1K,1.7M,236.5K,1.2K,1.6K,Gaming & Technology
rawanfahmii,rawan,3.4M,1.8M,189.7K,1.7K,1.5K,Lifestyle & Travel
bigcheese8581,Matt “Big Cheese”,7.6K,1.3M,187.3K,581,4K,Sports & Fitness
demin02_,Никита,1M,1.4M,223.4K,1.9K,1.6K,Music & Art
charlyokei,Charlyy,3.7M,2.4M,300.1K,914,583,Entertainment & Cinema
pollyjaewebster,Polly-Jae,158.4K,1.6M,188.8K,2.2K,1.4K,Fashion & Beauty
leventgeiger,Levent Geiger,3.1M,1.2M,165.5K,2.6K,2.9K,Music & Art
floofnoodles,Floofnoodles,17M,1.3M,154K,1.8K,3.8K,Other / Unknown
stwartabdala,•  R A T O N C I T O 🧀🐁,538.8K,932.6K,79.2K,905,13.6K,Entertainment & Cinema
com.yuta0305,【コムドット】ゆうた,1M,949.1K,179.7K,4.3K,2K,Lifestyle & Travel
kxmzzzy,kxmz,370.1K,2M,218.3K,999,1.4K,Fashion & Beauty
faulox_,faulox,6.8M,1.7M,172.4K,2.7K,1K,Gaming & Technology
yourrkayesss,kayess,4.8M,1.1M,169K,3.2K,2.8K,Lifestyle & Travel
oliviaalpert,Olivia Alpert,52.7K,2.6M,139.1K,1.9K,996,Entertainment & Cinema
brodywellmaker,Brody Wellmaker,20.3M,1.8M,229.8K,1.3K,1.3K,Entertainment & Cinema
ranierao,rani,18.1K,929.9K,251.6K,2.6K,1.9K,Music & Art
antrobo10,Anthony,545K,850.4K,128.1K,2.3K,7.2K,Sports & Fitness
therealmaneskin,Måneskin,5.4M,1.1M,214K,2.9K,1.5K,Music & Art
gustavomeloof,Gustavo Melo,4.6M,1.2M,86.8K,1.3K,8.6K,Sports & Fitness
samsamne0,Sam Samm,709.4K,2.1M,187.7K,1.8K,893,Lifestyle & Travel
bassant33,🔥bassantOfficial🔥,4.5M,2.7M,162.2K,1.6K,793,Music & Art
aichangemoy_,YT : AiChan TV,6.6M,1.7M,191.2K,2.5K,680,Gaming & Technology
jaytorresss,Jay Torres,3.8M,1.8M,242.7K,844,1.6K,Entertainment & Cinema
xvusex,T,21.1K,951.6K,199.1K,1.3K,4.1K,Other / Unknown
sibenitoo,SiBenitoo,4.7M,2.2M,140K,1.7K,1.7K,Entertainment & Cinema
jumpersjump,Jumpers Jump Podcast,6.4M,2.1M,220.1K,1.7K,486,Sports & Fitness
williesalim,WILLIE SALIM,8.3M,1.9M,148.2K,2.9K,713,Lifestyle & Travel
itsari.aleise,Arianna Hailey,11.8M,1.7M,322.8K,1.6K,359,Fashion & Beauty
arilbjn,Mochamad,51.3K,1.3M,221.9K,955,2.7K,Entertainment & Cinema
camxnie,Cam & Nie,3.2M,1.4M,173.9K,544,3.7K,Entertainment & Cinema
cristobalsoria,Cristóbal Soria,572K,1.2M,120.2K,4.4K,2.7K,Sports & Fitness
japeth023,japeth023,557.9K,1.5M,194.2K,1.6K,1.9K,Other / Unknown
venao2323,YANFRY EL TIERNO🙈,4.2M,1.5M,166.6K,1K,3K,Entertainment & Cinema
kuki_yt,Kuki_youtube,1.8M,1.5M,315.7K,1.3K,774,Gaming & Technology
ozikoy,KOY,6.9M,2.2M,186.4K,1.2K,1.3K,Entertainment & Cinema
swaghoe666,Tik Toker,1.4M,2.1M,306.5K,1.1K,501,Other / Unknown
robsonabreu,Robson Abreu,3.2M,1.4M,82K,8.3K,470,Entertainment & Cinema
juliagisella,Julia Gisella,10.2M,784.4K,186.9K,3.1K,3.7K,Music & Art
andreslleal,Andrés Leal,2.8M,1.7M,91.6K,3.7K,2.9K,Entertainment & Cinema
gabryellurlan,Gabryell Urlan,6.8M,1.4M,221.9K,1.2K,2.1K,Entertainment & Cinema
kagramanana,kagramana,6.2M,1.2M,184.1K,1K,3.5K,Other / Unknown
yizaroff,YIZARO,4M,1.4M,225.1K,2.6K,611,Fashion & Beauty
adamw,Adam W,15.7M,1.8M,179.5K,1.1K,1.9K,Entertainment & Cinema
xoteam,XO Team,32.1M,2.1M,222.9K,1.6K,481,Entertainment & Cinema
saydenseay,Sayden,3.3M,938.9K,257.3K,1.6K,2.5K,Entertainment & Cinema
justthenobodys,JustTheNobodys,7.1M,1.4M,175.8K,2.2K,1.8K,Entertainment & Cinema
snerixx,Sam Erix,8M,1.9M,369.2K,1K,361,Gaming & Technology
valenrewah,Valent,7.5M,2.4M,272.6K,929,605,Entertainment & Cinema
cheekyboyos,the cheeky boyos,10.9M,1.8M,252.8K,1.3K,867,Entertainment & Cinema
cokodive,cokodive,188.5K,871.1K,172.5K,2.8K,3.7K,Music & Art
_tusya_kiskis,_Tusya_kiskis,6.7M,1.4M,161.2K,1.5K,2.8K,Lifestyle & Travel
danaandthewolf,danaandthewolf,187.3K,2.5M,252.5K,824,712,Entertainment & Cinema
pakoyaso_,Pakoyaso,9.5M,1.8M,216.1K,1.2K,1.4K,Entertainment & Cinema
zhenyalavrik,Переезд в Турцию 🇹🇷,364.5K,3.2M,69.4K,1.8K,2.6K,Lifestyle & Travel
teukuryantr,teukuryantr,3.1M,1.7M,236.8K,1.3K,1.1K,Entertainment & Cinema
jamescharles,James Charles,36.1M,1.7M,191.6K,2.2K,752,Fashion & Beauty
zhenyalavrik,Переезд в Турцию 🇹🇷,364.5K,3.2M,69.4K,1.8K,2.6K,Lifestyle & Travel
teukuryantr,teukuryantr,3.1M,1.7M,236.8K,1.3K,1.1K,Entertainment & Cinema
jamescharles,James Charles,36.1M,1.7M,191.6K,2.2K,752,Fashion & Beauty
cardncyn,Carddd,1.5M,2.5M,271.1K,791,623,Entertainment & Cinema
mariahandbill,Mariah and Bill ღ,13.9M,2.7M,217.8K,1.2K,462,Lifestyle & Travel
jamal.jamael,Karim Jamal,2.6M,1.4M,203.4K,2.4K,991,Entertainment & Cinema
nastasyashinee,🇮🇩 BAGUS ISTRI 🇮🇩,4.9M,2.5M,154.5K,1.6K,880,Music & Art
riska_nurwidia,Riska Nur Widia,2.6M,2.5M,276.8K,623,755,Music & Art
ermo1enko,🖤ТВОЯ ВЕЧЕРИНКА🖤,1.7M,1.7M,326.3K,870,849,Music & Art
mackenzieziegler,Mackenzie Ziegler,22.1M,2.1M,325.5K,1K,380,Music & Art
yarenalaca,Yaren Alaca,5.4M,1.6M,119.2K,4.6K,513,Music & Art
gabrielvalland,Gabriel Valland,958.2K,1.1M,257.9K,1.7K,1.7K,Entertainment & Cinema
judiitharias,Judith & Ángel 🙋🏻‍♀️🙋🏽‍♂️,15.7M,3.1M,302K,763,249,Lifestyle & Travel
adamrayokay,ADAMRAY,6.8M,1.9M,217.6K,1.7K,629,Entertainment & Cinema
ethob0t,Ethobot,534.2K,2.4M,203.1K,1.3K,668,Gaming & Technology
soylapizito,lapizito,13.3M,2.1M,277.2K,1.2K,442,Entertainment & Cinema
fadeewa_makeup,Фадеева🦞,760.2K,1.3M,113.2K,1.7K,4.6K,Fashion & Beauty
rosssmith,Ross Smith,21.8M,1.4M,263.3K,814,1.7K,Entertainment & Cinema
bentleybuilds,Bentley Bastian,72K,3.1M,77.6K,826,3.1K,Other / Unknown
edwinmendozza,𝖊𝖉𝖜𝖎𝖓,14.2M,1.8M,393.6K,1K,349,Music & Art
cocielo,Júlio Cocielo,4.3M,1.3M,204.6K,1.5K,2K,Entertainment & Cinema
riqqo_,Riqqo_,66K,2.9M,170.3K,1.5K,361,Music & Art
lgndfrvr,LGNDFRVR,15.8M,1.9M,241.3K,670,1.3K,Gaming & Technology
jajad5,jajad5,630.8K,982.4K,263.8K,2.1K,1.5K,Music & Art
cocinaconcoqui,cocinaconcoqui,2M,1.4M,278.3K,628,1.7K,Lifestyle & Travel
rucenuenda1,Ruce Nuenda,1.1M,1.6M,280.9K,1.5K,589,Music & Art
thaotaotau,Phương Thảo,5.1M,2.5M,267.9K,1.2K,237,Music & Art
brycehall,Bryce Hall,21.3M,2.4M,283.2K,901,476,Music & Art
just_dt,Dt,8.9M,1.1M,198.6K,1.8K,2.5K,Music & Art
seleterr,seleterr,27.1K,1.5M,180.5K,807,2.5K,Entertainment & Cinema
teamsport_philipp,Teamsport_Philipp,23.2K,957.2K,140.4K,2.1K,4.6K,Sports & Fitness
arananadam38,Okan Taşdemir,175.1K,2M,60K,967,6.6K,Entertainment & Cinema
mngnzls,MONA,13M,2.6M,191.1K,1.5K,310,Music & Art
niico_pr,миша,1.1M,1.4M,197.7K,1.9K,1.3K,Other / Unknown
keemokazi,KEEMOKAZI,26M,2.1M,256K,1.4K,293,Lifestyle & Travel
vivi,Vivi,10.3M,1.7M,224.7K,2K,412,Fashion & Beauty
german_crusader,Stardust Crusader,99K,902.5K,149K,1.6K,5.1K,Other / Unknown
whitehernandez,Blanca Hernández,112.6K,1.4M,229.7K,1.4K,1.4K,Other / Unknown
shyazryne,aEiOu,86.2K,2.9M,316K,595,373,Other / Unknown
rozhkova.olesya,Roozhkova,850K,1.5M,197.2K,964,2.1K,Other / Unknown
mosqvin_,Та самая училка❤️🔥,2.6M,1.9M,348.5K,714,637,Entertainment & Cinema
sepultacion,mari,6.4M,1.3M,301.4K,1.9K,404,Other / Unknown
kaansanity,aakaanksh,4.9M,1.1M,86.4K,569,8.8K,Gaming & Technology
dizzlipin,diZzLipin,909.6K,1.9M,79.9K,5.5K,356,Other / Unknown
aldomirandar,😂 Aldo Miranda 😂,8.4M,1.3M,212.7K,605,2.7K,Other / Unknown
nicolebernaal,nicolebernaal,4M,2.2M,351.3K,957,195,Other / Unknown
bellaretamosa,bella,5.1M,2.5M,340.4K,901,145,Music & Art
tunico80,🌠Antonio Tonon🌠,5.8M,1M,206.8K,2K,2.1K,Other / Unknown
armon.warren,Armoney,1.2M,1.9M,300.8K,904,630,Music & Art
soanhvadiephihi,Soanh x Diệp 💎,1.6M,2.6M,273.2K,720,530,Other / Unknown
